TC,Description (1),environment,username,password,sender_first_name,sender_middle_name,sender_last_name,sender_country_origin,sender_address_line_one,sender_address_line_two,sender_city,sender_zip_code,sender_province,sender_country,sender_phone_number,sender_nationality,sender_national_identity_number,sender_dob,sender_place_of_birth,sender_email,source_of_funds,beneficiary_first_name,beneficiary_middle_name,beneficiary_last_name,beneficiary_sex,beneficiary_nationality,beneficiary_account_name,beneficiary_account_number,beneficiary_address_line_one,beneficiary_address_line_two,beneficiary_barangay,beneficiary_city,beneficiary_province,beneficiary_zip_code,beneficiary_government_issued_id,beneficiary_phone_number,purpose,relationship_of_sender_to_beneficiary,currency,amount,fee_type,method,beneficiary_bank_code,instructions,channel_down,ubp_partner_cashout,paymaya_wallet,instapay_emi_p2p_cashout,InstaPay,pesonet,status_code,expected_error
13,Logic Seq: UBP Bankcode :Non Real Time : Amount < 50K : Non Real Time and Real Time channels down,Dev,ezekiel.isidro+4@pdax.ph,Password123!,Alwin,Levi Brion,Zacarias,Philippines,,,,,,,639154568798,,,,,,Business Income,JAMLESTER,NA,YABUT,,Filipino,JAMLESTER TINAGAN YABUT,109594481946,,,,,,,,,Business Expense/Employee Remittance,Business,PHP,300,Beneficiary,PAY-TO-ACCOUNT-NON-REAL-TIME,BAUBPPH,Pay fee for partly work,1184_1187_1188_1189,supported,unsupported,supported,supported,supported,400,
14,Logic Seq: UBP Bankcode : Non Real Time : Amount > 50K : UBP Direct is Down ,Dev,ezekiel.isidro+4@pdax.ph,Password123!,Alwin,Levi Brion,Zacarias,Philippines,,,,,,,639154568798,,CRN123456,,,,Business Income,JAMLESTER,NA,YABUT,,Filipino,JAMLESTER TINAGAN YABUT,109594481946,,,,,,,,,Business Expense/Employee Remittance,Business,PHP,50000.01,Sender,PAY-TO-ACCOUNT-NON-REAL-TIME,BAUBPPH,Pay fee for partly work,1184,supported,unsupported,supported,supported,supported,200,no error
15,Logic Seq: UBP Bankcode : Non Real Time : Amount > 50K :  UBP Direct and Pesonet are Down ,Dev,ezekiel.isidro+4@pdax.ph,Password123!,Alwin,Levi Brion,Zacarias,Philippines,,,,,,,639154568798,,CRN123456,,,,Business Income,JAMLESTER,NA,YABUT,,Filipino,JAMLESTER TINAGAN YABUT,109594481946,,,,,,,,,Business Expense/Employee Remittance,Business,PHP,50000.01,Sender,PAY-TO-ACCOUNT-NON-REAL-TIME,BAUBPPH,Pay fee for partly work,1184_1189,supported,unsupported,supported,supported,supported,400,
16,Logic Seq: Maya : Real Time : Amount < 50k,Dev,ezekiel.isidro+4@pdax.ph,Password123!,Alwin,Levi Brion,Zacarias,Philippines,,,,,,,639154568798,,,,,,Business Income,JAMLESTER,NA,YABUT,,Filipino,JAMLESTER TINAGAN YABUT,639544563215,,,,,,,,,Business Expense/Employee Remittance,Business,PHP,300,Beneficiary,PAY-TO-ACCOUNT-REAL-TIME,EWPAYPH,Pay fee for partly work,null,unsupported,supported,unsupported,supported,supported,200,no error
17,Logic Seq: Maya : Real Time : Amount < 50k : Maya Down,Dev,ezekiel.isidro+4@pdax.ph,Password123!,Alwin,Levi Brion,Zacarias,Philippines,,,,,,,639154568798,,,,,,Business Income,JAMLESTER,NA,YABUT,,Filipino,JAMLESTER TINAGAN YABUT,639544563215,,,,,,,,,Business Expense/Employee Remittance,Business,PHP,300,Beneficiary,PAY-TO-ACCOUNT-REAL-TIME,EWPAYPH,Pay fee for partly work,1316,unsupported,supported,unsupported,supported,supported,200,no error
18,Logic Seq: Maya : Real Time : Amount < 50k : Maya and Instapay Down,Dev,ezekiel.isidro+4@pdax.ph,Password123!,Alwin,Levi Brion,Zacarias,Philippines,,,,,,,639154568798,,,,,,Business Income,JAMLESTER,NA,YABUT,,Filipino,JAMLESTER TINAGAN YABUT,639544563215,,,,,,,,,Business Expense/Employee Remittance,Business,PHP,300,Beneficiary,PAY-TO-ACCOUNT-REAL-TIME,EWPAYPH,Pay fee for partly work,1316_1101,unsupported,supported,unsupported,supported,supported,400,
19,Logic Seq: Maya : Real Time : Amount > 50k ,Dev,ezekiel.isidro+4@pdax.ph,Password123!,Alwin,Levi Brion,Zacarias,Philippines,,,,,,,639154568798,,CRN123456,,,,Business Income,JAMLESTER,NA,YABUT,,Filipino,JAMLESTER TINAGAN YABUT,639544563215,,,,,,,,,Business Expense/Employee Remittance,Business,PHP,50000.01,Sender,PAY-TO-ACCOUNT-REAL-TIME,EWPAYPH,Pay fee for partly work,null,unsupported,supported,unsupported,supported,supported,400,"Could not process real time payment with amount greater than 50,000 PHP"
20,Logic Seq: Maya : Non Real Time : Amount < 50k ,Dev,ezekiel.isidro+4@pdax.ph,Password123!,Alwin,Levi Brion,Zacarias,Philippines,,,,,,,639154568798,,,,,,Business Income,JAMLESTER,NA,YABUT,,Filipino,JAMLESTER TINAGAN YABUT,639544563215,,,,,,,,,Business Expense/Employee Remittance,Business,PHP,300,Beneficiary,PAY-TO-ACCOUNT-NON-REAL-TIME,EWPAYPH,Pay fee for partly work,null,unsupported,supported,unsupported,supported,supported,200,no error
21,Logic Seq: Maya : Non Real Time : Amount < 50k : Maya Down,Dev,ezekiel.isidro+4@pdax.ph,Password123!,Alwin,Levi Brion,Zacarias,Philippines,,,,,,,639154568798,,,,,,Business Income,JAMLESTER,NA,YABUT,,Filipino,JAMLESTER TINAGAN YABUT,639544563215,,,,,,,,,Business Expense/Employee Remittance,Business,PHP,300,Beneficiary,PAY-TO-ACCOUNT-NON-REAL-TIME,EWPAYPH,Pay fee for partly work,1316,unsupported,supported,unsupported,supported,supported,200,no error
22,Logic Seq: Maya : Non Real Time : Amount < 50k : Maya and Instapay Down,Dev,ezekiel.isidro+4@pdax.ph,Password123!,Alwin,Levi Brion,Zacarias,Philippines,,,,,,,639154568798,,,,,,Business Income,JAMLESTER,NA,YABUT,,Filipino,JAMLESTER TINAGAN YABUT,639544563215,,,,,,,,,Business Expense/Employee Remittance,Business,PHP,300,Beneficiary,PAY-TO-ACCOUNT-NON-REAL-TIME,EWPAYPH,Pay fee for partly work,1316_1101,unsupported,supported,unsupported,supported,supported,200,no error
23,Logic Seq: Maya : Non Real Time : Amount > 50k ,Dev,ezekiel.isidro+4@pdax.ph,Password123!,Alwin,Levi Brion,Zacarias,Philippines,,,,,,,639154568798,,CRN123456,,,,Business Income,JAMLESTER,NA,YABUT,,Filipino,JAMLESTER TINAGAN YABUT,639544563215,,,,,,,,,Business Expense/Employee Remittance,Business,PHP,50000.01,Sender,PAY-TO-ACCOUNT-NON-REAL-TIME,EWPAYPH,Pay fee for partly work,null,unsupported,supported,unsupported,supported,supported,200,no error
24,Limits : UBP : Real Time : Amount = 10M ,Dev,ezekiel.isidro+4@pdax.ph,Password123!,Alwin,Levi Brion,Zacarias,Philippines,,,,,,,639154568798,,CRN123456,,,,Business Income,JAMLESTER,NA,YABUT,,Filipino,JAMLESTER TINAGAN YABUT,639544563215,,,,,,,,,Business Expense/Employee Remittance,Business,PHP,10000000,Sender,PAY-TO-ACCOUNT-NON-REAL-TIME,BAUBPPH,Pay fee for partly work,null,supported,supported,supported,supported,supported,200,no error
25,Limits : UBP : Real Time : Amount > 10M ,Dev,ezekiel.isidro+2@pdax.ph,Password123!,Alwin,Levi Brion,Zacarias,Philippines,,,,,,,639154568798,,CRN123456,,,,Business Income,JAMLESTER,NA,YABUT,,Filipino,JAMLESTER TINAGAN YABUT,639544563215,,,,,,,,,Business Expense/Employee Remittance,Business,PHP,10000000.01,Sender,PAY-TO-ACCOUNT-NON-REAL-TIME,BAUBPPH,Pay fee for partly work,null,supported,supported,supported,supported,supported,400,"Could not process ubp/pesonet payment with amount greater than 10,000,000 PHP"
26,Limits : Pesonet : Non  Real Time : Amount = 10M ,Dev,ezekiel.isidro+2@pdax.ph,Password123!,Alwin,Levi Brion,Zacarias,Philippines,,,,,,,639154568798,,CRN123456,,,,Business Income,JAMLESTER,NA,YABUT,,Filipino,JAMLESTER TINAGAN YABUT,639544563215,,,,,,,,,Business Expense/Employee Remittance,Business,PHP,10000000,Sender,PAY-TO-ACCOUNT-NON-REAL-TIME,EWPAYPH,Pay fee for partly work,null,unsupported,supported,unsupported,supported,supported,200,no error
27,Limits : Pesonet : Non  Real Time : Amount > 10M ,Dev,ezekiel.isidro+2@pdax.ph,Password123!,Alwin,Levi Brion,Zacarias,Philippines,,,,,,,639154568798,,CRN123456,,,,Business Income,JAMLESTER,NA,YABUT,,Filipino,JAMLESTER TINAGAN YABUT,639544563215,,,,,,,,,Business Expense/Employee Remittance,Business,PHP,10000000.01,Sender,PAY-TO-ACCOUNT-NON-REAL-TIME,EWPAYPH,Pay fee for partly work,null,unsupported,supported,unsupported,supported,supported,400,"Could not process ubp/pesonet payment with amount greater than 10,000,000 PHP"
